Date,Seed,Model,Ranking Function,Dataset,N,n,Effort,Accuracy,Precision,Recall,F1-Score,Relevant labeled,TP,TN,FP,FN,Prevalence,representation,category
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,941,1,31,0.05235156416,0.05235156416,1,0.09949443883,10,984,0,17812,0,0.1004250797,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,941,3,90,0.05187596734,0.05187596734,1,0.09863514131,22,972,0,17765,0,0.06583421892,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,941,5,145,0.9684723263,0.6471048513,0.8569948187,0.7374052608,29,827,17266,451,138,0.03927736451,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,941,10,265,0.967891391,0.9838709677,0.3828451883,0.5512048193,38,366,17600,6,590,0.04240170032,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,941,20,450,0.956576155,0.9875,0.1656184486,0.2836624776,40,158,17421,2,796,0.04357332625,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,1882,1,37,0.0524215008,0.0524215008,1,0.09962073325,9,985,0,17805,0,0.05188629118,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,1882,3,108,0.05155189914,0.05155189914,1,0.098049177,29,965,0,17754,0,0.04147183847,bow,rec.motorcycles
2022-11-23 16:40,2474260,logreg,relevance,20newsgroup,1882,5,175,0.680838516,0.1348003498,0.9829968119,0.2370882994,53,925,11774,5937,16,0.05846971307,bow,rec.motorcycles
2022-11-23 16:41,2474260,logreg,relevance,20newsgroup,1882,10,325,0.9850286456,0.9268617021,0.7584330794,0.8342309994,75,697,17528,55,222,0.05021253985,bow,rec.motorcycles
2022-11-23 16:41,2474260,logreg,relevance,20newsgroup,1882,20,570,0.9794051597,0.9818511797,0.5964718853,0.7421124829,87,541,17340,10,366,0.05132837407,bow,rec.motorcycles
2022-11-23 16:41,2474260,logreg,relevance,20newsgroup,3765,1,44,0.05212159932,0.05212159932,1,0.09907904058,15,979,0,17804,0,0.04880478088,bow,rec.motorcycles
2022-11-23 16:42,2474260,logreg,relevance,20newsgroup,3765,3,129,0.0512889079,0.05062884667,1,0.09637817737,48,946,13,17739,0,0.05019920319,bow,rec.motorcycles
