Date,Seed,Model,Ranking Function,Dataset,N,n,Effort,Accuracy,Precision,Recall,F1-Score,Relevant labeled,TP,TN,FP,FN,Prevalence,representation
2022-11-23 17:40,2474260,logreg,relevance,displaced_persons,364,1,23,0.0888674566,0.0888674566,1,0.1632291535,9,645,0,6613,0,0.1355769231,bow
2022-11-23 17:40,2474260,logreg,relevance,displaced_persons,364,1,23,0.0888674566,0.0888674566,1,0.1632291535,9,645,0,6613,0,0.1355769231,bow
2022-11-23 17:40,2474260,logreg,relevance,displaced_persons,364,1,23,0.0888674566,0.0888674566,1,0.1632291535,9,645,0,6613,0,0.1355769231,bow
2022-11-23 17:40,2474260,logreg,relevance,displaced_persons,364,1,23,0.0888674566,0.0888674566,1,0.1632291535,9,645,0,6613,0,0.1355769231,bow
2022-11-23 17:41,2474260,logreg,relevance,displaced_persons,364,1,23,0.0888674566,0.0888674566,1,0.1632291535,9,645,0,6613,0,0.1355769231,bow
2022-11-23 17:41,2474260,logreg,relevance,displaced_persons,364,3,66,0.6594594595,0.2051116144,1,0.3404026846,20,634,4124,2457,0,0.1,bow
2022-11-23 17:41,2474260,logreg,relevance,displaced_persons,364,3,66,0.6594594595,0.2051116144,1,0.3404026846,20,634,4124,2457,0,0.1,bow
2022-11-23 17:41,2474260,logreg,relevance,displaced_persons,364,3,66,0.6594594595,0.2051116144,1,0.3404026846,20,634,4124,2457,0,0.1,bow
2022-11-23 17:42,2474260,logreg,relevance,displaced_persons,364,3,66,0.6594594595,0.2051116144,1,0.3404026846,20,634,4124,2457,0,0.1,bow
2022-11-23 17:42,2474260,logreg,relevance,displaced_persons,364,3,66,0.6594594595,0.2051116144,1,0.3404026846,20,634,4124,2457,0,0.1,bow
2022-11-23 17:42,2474260,logreg,relevance,displaced_persons,364,5,105,0.8900501672,0.4423213022,0.9984025559,0.6130456106,28,625,5762,788,1,0.09865384615,bow
2022-11-23 17:42,2474260,logreg,relevance,displaced_persons,364,5,105,0.8900501672,0.4423213022,0.9984025559,0.6130456106,28,625,5762,788,1,0.09865384615,bow
2022-11-23 17:42,2474260,logreg,relevance,displaced_persons,364,5,105,0.8900501672,0.4423213022,0.9984025559,0.6130456106,28,625,5762,788,1,0.09865384615,bow
2022-11-23 17:43,2474260,logreg,relevance,displaced_persons,364,5,105,0.8900501672,0.4423213022,0.9984025559,0.6130456106,28,625,5762,788,1,0.09865384615,bow
2022-11-23 17:43,2474260,logreg,relevance,displaced_persons,364,5,105,0.8900501672,0.4423213022,0.9984025559,0.6130456106,28,625,5762,788,1,0.09865384615,bow
2022-11-23 17:43,2474260,logreg,relevance,displaced_persons,364,10,185,0.9498308906,0.6485260771,0.925566343,0.7626666667,36,572,6168,310,46,0.10125,bow
2022-11-23 17:43,2474260,logreg,relevance,displaced_persons,364,10,185,0.9498308906,0.6485260771,0.925566343,0.7626666667,36,572,6168,310,46,0.10125,bow
2022-11-23 17:44,2474260,logreg,relevance,displaced_persons,364,10,185,0.9498308906,0.6485260771,0.925566343,0.7626666667,36,572,6168,310,46,0.10125,bow
2022-11-23 17:44,2474260,logreg,relevance,displaced_persons,364,10,185,0.9498308906,0.6485260771,0.925566343,0.7626666667,36,572,6168,310,46,0.10125,bow
2022-11-23 17:44,2474260,logreg,relevance,displaced_persons,364,10,185,0.9498308906,0.6485260771,0.925566343,0.7626666667,36,572,6168,310,46,0.10125,bow
2022-11-23 17:44,2474260,logreg,relevance,displaced_persons,364,20,290,0.9555142326,0.7208633094,0.8106796117,0.7631378522,36,501,6179,194,117,0.1009615385,bow
2022-11-23 17:45,2474260,logreg,relevance,displaced_persons,364,20,290,0.9555142326,0.7208633094,0.8106796117,0.7631378522,36,501,6179,194,117,0.1009615385,bow
2022-11-23 17:45,2474260,logreg,relevance,displaced_persons,364,20,290,0.9555142326,0.7208633094,0.8106796117,0.7631378522,36,501,6179,194,117,0.1009615385,bow
2022-11-23 17:45,2474260,logreg,relevance,displaced_persons,364,20,290,0.9555142326,0.7208633094,0.8106796117,0.7631378522,36,501,6179,194,117,0.1009615385,bow
2022-11-23 17:45,2474260,logreg,relevance,displaced_persons,364,20,290,0.9555142326,0.7208633094,0.8106796117,0.7631378522,36,501,6179,194,117,0.1009615385,bow
2022-11-23 17:46,2474260,logreg,relevance,displaced_persons,728,1,29,0.08866519581,0.08866519581,1,0.1628879037,11,643,0,6609,0,0.09663461538,bow
2022-11-23 17:46,2474260,logreg,relevance,displaced_persons,728,1,29,0.08866519581,0.08866519581,1,0.1628879037,11,643,0,6609,0,0.09663461538,bow
2022-11-23 17:46,2474260,logreg,relevance,displaced_persons,728,1,29,0.08866519581,0.08866519581,1,0.1628879037,11,643,0,6609,0,0.09663461538,bow
2022-11-23 17:46,2474260,logreg,relevance,displaced_persons,728,1,29,0.08866519581,0.08866519581,1,0.1628879037,11,643,0,6609,0,0.09663461538,bow
2022-11-23 17:47,2474260,logreg,relevance,displaced_persons,728,1,29,0.08866519581,0.08866519581,1,0.1628879037,11,643,0,6609,0,0.09663461538,bow
2022-11-23 17:47,2474260,logreg,relevance,displaced_persons,728,3,84,0.7554536612,0.2626728111,1,0.4160583942,27,627,4810,1760,0,0.08894230769,bow
2022-11-23 17:47,2474260,logreg,relevance,displaced_persons,728,3,84,0.7554536612,0.2626728111,1,0.4160583942,27,627,4810,1760,0,0.08894230769,bow
2022-11-23 17:47,2474260,logreg,relevance,displaced_persons,728,3,84,0.7554536612,0.2626728111,1,0.4160583942,27,627,4810,1760,0,0.08894230769,bow
2022-11-23 17:48,2474260,logreg,relevance,displaced_persons,728,3,84,0.7554536612,0.2626728111,1,0.4160583942,27,627,4810,1760,0,0.08894230769,bow
2022-11-23 17:48,2474260,logreg,relevance,displaced_persons,728,3,84,0.7554536612,0.2626728111,1,0.4160583942,27,627,4810,1760,0,0.08894230769,bow
